# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
CALLSTK,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
CALLSTKCOUNT,FUNCTION,codegen builtin,,IMPLEMENTED
CBOOL,FUNCTION,codegen builtin,,IMPLEMENTED
CBRT,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
CBYTE,FUNCTION,codegen builtin,,IMPLEMENTED
CDBL,FUNCTION,codegen builtin,,IMPLEMENTED
CDWORD,FUNCTION,codegen builtin,,IMPLEMENTED
CEIL,FUNCTION,LLVM intrinsic,,IMPLEMENTED
CFLT,FUNCTION,codegen builtin,,IMPLEMENTED
CHDIR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
CHDRIVE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
CHOOSE,FUNCTION,codegen builtin,,IMPLEMENTED
CHR,FUNCTION,codegen builtin,,IMPLEMENTED
CHRTOOEM,FUNCTION,codegen builtin,,IMPLEMENTED
CHRTOUTF8,FUNCTION,codegen builtin,,IMPLEMENTED
CLASS/END CLASS,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
CLIP,FUNCTION,codegen builtin,,IMPLEMENTED
CLIPBOARD,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
CLOSE,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
CLS,STATEMENT,PB/CC only,Established,IMPLEMENTED
CODEPTR,FUNCTION,codegen builtin,,IMPLEMENTED
COLOR,STATEMENT,PB/CC only,Established,IMPLEMENTED
COMBOBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
COMM CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM LINE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM OPEN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM PRINT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM RECV,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM RESET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM SEND,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM SET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMM TIMEOUT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
COMMAND,FUNCTION,codegen builtin,,IMPLEMENTED
CONTROL ADD *CUSTOM CONTROL*,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL ADD BUTTON,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD CHECK3STATE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD CHECKBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD COMBOBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD FRAME,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD GRAPHIC,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD HEADER,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD IMAGE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD IMAGEX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD IMGBUTTON,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD IMGBUTTONX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD LABEL,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD LINE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD LISTBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
