# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
GRAPHIC SAVE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SCALE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET AUTOSIZE,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC SET BITS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET CAPTION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET CLIENT,STATEMENT,PB/Win + PB/CC,Proposed Improvement,TIER3_DDT
GRAPHIC SET CLIP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET FIXED,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET FOCUS,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC SET FONT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET LOC,STATEMENT,PB/Win + PB/CC,Proposed Improvement,TIER3_DDT
GRAPHIC SET MIX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET OVERLAP,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC SET PIXEL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET POS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET SCROLLTEXT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC SET SIZE,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC SET STRETCHMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET TEXTALIGN,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
GRAPHIC SET VIEW,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET VIRTUAL,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC SET WORDWRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SET WRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC SPLIT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC STRETCH,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC STYLE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC TEXT SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC WAITKEY$,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WIDTH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC WINDOW,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW CLICK,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW END,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW HIDE,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW MINIMIZE,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW NONSTABLE,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW NORMALIZE,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC WINDOW STABILIZE,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC_ARC,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_ATTACH,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_BITMAP_END,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_BITMAP_LOAD,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_BITMAP_NEW,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_CELL,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_CHR_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_CIRCLE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_CLEAR,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_COLOR,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_COPY,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_DETACH,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_ELLIPSE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_BITS,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_CAPTION,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_CLIP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_DC,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_LINES,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_LOC,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_MIX,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_PIXEL,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_POS,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_PPI,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_SCALE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_STRETCHMODE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_TEXTALIGN,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_VIEW,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_WORDWRAP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_GET_WRAP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_LINE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_PAINT,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_PIE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_POLYGON,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_POLYLINE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SAVE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SCALE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SCALE_PIXELS,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_AUTOSIZE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_BITS,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_CAPTION,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_CLIP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_FIXED,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_FONT,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_MIX,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_PIXEL,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_POS,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_STRETCHMODE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_TEXTALIGN,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_VIEW,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_VIRTUAL,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_WORDWRAP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_SET_WRAP,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_STYLE,FUNCTION,codegen builtin,,IMPLEMENTED
GRAPHIC_TEXT_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
HEADER,STATEMENT,PB/Win only,Established,IMPLEMENTED
HEADER_CTRL,FUNCTION,codegen builtin,,IMPLEMENTED
HEX,FUNCTION,codegen builtin,,IMPLEMENTED
HIWRD,FUNCTION,codegen builtin,,IMPLEMENTED
HOST ADDR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
HOST NAME,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
HYPOT,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
IF,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
IF/END IF,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
IIF,FUNCTION,codegen builtin,,IMPLEMENTED
IMAGELIST,STATEMENT,PB/Win only,Established,IMPLEMENTED
IMAGELIST_COUNT,FUNCTION,codegen builtin,,IMPLEMENTED
IMAGELIST_KILL,FUNCTION,codegen builtin,,IMPLEMENTED
IMAGELIST_NEW,FUNCTION,codegen builtin,,IMPLEMENTED
IMPORT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
INCR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
INPUT FLUSH,STATEMENT,PB/CC only,Established,IMPLEMENTED
INPUT#,STATEMENT,PB/CC only,Proposed Improvement,IMPLEMENTED
INSTANCE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
INSTR,FUNCTION,codegen builtin,,IMPLEMENTED
INT,FUNCTION,codegen builtin,,IMPLEMENTED
INTEGER,FUNCTION,codegen builtin,,IMPLEMENTED
INTERFACE / END INTERFACE (DIRECT),BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
INTERFACE/END INTERFACE (IDBIND),BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
ISEVEN,FUNCTION,codegen builtin,,IMPLEMENTED
ISFALSE,FUNCTION,codegen builtin,,IMPLEMENTED
ISFILE,FUNCTION,codegen builtin,,IMPLEMENTED
ISFOLDER,FUNCTION,codegen builtin,,IMPLEMENTED
ISINFINITE,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
ISNORMAL,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
ISODD,FUNCTION,codegen builtin,,IMPLEMENTED
ISTRUE,FUNCTION,codegen builtin,,IMPLEMENTED
ITERATE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
KILL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LCASE,FUNCTION,codegen builtin,,IMPLEMENTED
LEFT,FUNCTION,codegen builtin,,IMPLEMENTED
LEN,FUNCTION,codegen builtin,,IMPLEMENTED
LET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LET *(WITH OBJECTS)*,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LET *(WITH TYPES)*,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LET *(WITH VARIANTS)*,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LINE INPUT#,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
LISTBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
LISTVIEW,STATEMENT,PB/Win only,Established,TIER3_DDT
LO,FUNCTION,codegen builtin,,IMPLEMENTED
LOCAL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LOCK,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LOG,FUNCTION,LLVM intrinsic,,IMPLEMENTED
LOG10,FUNCTION,LLVM intrinsic,,IMPLEMENTED
LOG1P,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
LOG2,FUNCTION,LLVM intrinsic,,IMPLEMENTED
LONG,FUNCTION,codegen builtin,,IMPLEMENTED
LOWRD,FUNCTION,codegen builtin,,IMPLEMENTED
LPRINT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LPRINT ATTACH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LPRINT CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LPRINT FLUSH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LPRINT FORMFEED,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LSET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
LTRIM,FUNCTION,codegen builtin,,IMPLEMENTED
MACRO/END MACRO,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
MAK,FUNCTION,codegen builtin,,IMPLEMENTED
MAT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MAX,FUNCTION,codegen builtin,,IMPLEMENTED
MEMORY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MEMORY_FILL,FUNCTION,codegen builtin,,IMPLEMENTED
MEMORY_FILLS,FUNCTION,codegen builtin,,IMPLEMENTED
MENU ADD POPUP,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU ADD STRING,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU ATTACH,STATEMENT,PB/Win only,Established,TIER3_DDT
MENU CONTEXT,STATEMENT,PB/Win only,Established,TIER3_DDT
MENU DELETE,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU DRAW BAR,STATEMENT,PB/Win only,Established,TIER3_DDT
MENU GET STATE,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU GET TEXT,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU NEW BAR,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU NEW POPUP,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU SET STATE,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU SET TEXT,STATEMENT,PB/Win only,Established,IMPLEMENTED
MENU_ADD_POPUP,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_ADD_STRING,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_DELETE,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_GET_STATE,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_GET_TEXT,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_NEW_POPUP,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_SET_STATE,FUNCTION,codegen builtin,,IMPLEMENTED
MENU_SET_TEXT,FUNCTION,codegen builtin,,IMPLEMENTED
METHOD / END METHOD,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MID,FUNCTION,codegen builtin,,IMPLEMENTED
MID$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MIN,FUNCTION,codegen builtin,,IMPLEMENTED
MKBYT,FUNCTION,codegen builtin,,IMPLEMENTED
MKBYT$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKCUR$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKCUX,FUNCTION,codegen builtin,,IMPLEMENTED
MKCUX$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKD$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKDIR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKDWD,FUNCTION,codegen builtin,,IMPLEMENTED
MKDWD$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKE,FUNCTION,codegen builtin,,IMPLEMENTED
MKE$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKI$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKL$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKQ$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKS,FUNCTION,codegen builtin,,IMPLEMENTED
MKS$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MKWRD,FUNCTION,codegen builtin,,IMPLEMENTED
MKWRD$,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
MOD,FUNCTION,codegen builtin,,IMPLEMENTED
MONTHNAME,FUNCTION,codegen builtin,,IMPLEMENTED
MOUSEPTR,STATEMENT,PB/CC only,Established,IMPLEMENTED
MSGBOX,STATEMENT,PB/Win only,Established,IMPLEMENTED
NAME,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
OBJECT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
OCT,FUNCTION,codegen builtin,,IMPLEMENTED
OEMTOCHR,FUNCTION,codegen builtin,,IMPLEMENTED
ON CALL,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
ON ERROR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
ON GOSUB,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
ON GOTO,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
OPEN,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
OPTION EXPLICIT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PARSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PARSECOUNT,FUNCTION,codegen builtin,,IMPLEMENTED
PATHNAME,FUNCTION,codegen builtin,,IMPLEMENTED
PATHSCAN,FUNCTION,codegen builtin,,IMPLEMENTED
PEEK,FUNCTION,codegen builtin,,IMPLEMENTED
PLAY SOUND,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
PLAY WAVE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
POKE,FUNCTION,codegen builtin,,IMPLEMENTED
PREFIX,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
PRINT#,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PRINTERCOUNT,FUNCTION,codegen builtin,,IMPLEMENTED
PROCESS GET PRIORITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PROCESS SET PRIORITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PROFILE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
PROGRESSBAR,STATEMENT,PB/Win only,Established,IMPLEMENTED
PUT,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
PUT$,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
PUT$$,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
PUT_STR,FUNCTION,codegen builtin,,IMPLEMENTED
PUT_WSTR,FUNCTION,codegen builtin,,IMPLEMENTED
QUAD,FUNCTION,codegen builtin,,IMPLEMENTED
RAISEEVENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RANDOMIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
READ,FUNCTION,codegen builtin,,IMPLEMENTED
REDIM,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
REGEXPR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
REGISTER,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
REGREPL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
REM,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
REMAIN,FUNCTION,codegen builtin,,IMPLEMENTED
REMOVE,FUNCTION,codegen builtin,,IMPLEMENTED
REPEAT,FUNCTION,codegen builtin,,IMPLEMENTED
REPLACE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RESET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RESOURCE SAVE FILE,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
RESOURCE_SAVE_FILE,FUNCTION,codegen builtin,,IMPLEMENTED
RESUME,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RETAIN,FUNCTION,codegen builtin,,IMPLEMENTED
RETURN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RIGHT,FUNCTION,codegen builtin,,IMPLEMENTED
RMDIR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RND,FUNCTION,codegen builtin,,IMPLEMENTED
ROTATE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
ROUND,FUNCTION,LLVM intrinsic,,IMPLEMENTED
RSET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
RTRIM,FUNCTION,codegen builtin,,IMPLEMENTED
SCROLLBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
SEC,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
SECH,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
SEEK,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
SELECT CASE/END SELECT,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
SETATTR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SETEOF,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
SGN,FUNCTION,codegen builtin,,IMPLEMENTED
SHELL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SHIFT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SHRINK,FUNCTION,codegen builtin,,IMPLEMENTED
SIN,FUNCTION,LLVM intrinsic,,IMPLEMENTED
SINGLE,FUNCTION,codegen builtin,,IMPLEMENTED
SINH,FUNCTION,LLVM intrinsic,,IMPLEMENTED
SIZEOF,FUNCTION,codegen builtin,,IMPLEMENTED
SLEEP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SPACE,FUNCTION,codegen builtin,,IMPLEMENTED
SPLIT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SQR,FUNCTION,LLVM intrinsic,,IMPLEMENTED
STATIC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
STATUSBAR,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
STR,FUNCTION,codegen builtin,,IMPLEMENTED
STRDELETE,FUNCTION,codegen builtin,,IMPLEMENTED
STRING,FUNCTION,codegen builtin,,IMPLEMENTED
STRINSERT,FUNCTION,codegen builtin,,IMPLEMENTED
STRPTR,FUNCTION,codegen builtin,,IMPLEMENTED
STRREVERSE,FUNCTION,codegen builtin,,IMPLEMENTED
SWAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
SWITCH$,FUNCTION,codegen builtin,,IMPLEMENTED
TAB,STATEMENT,PB/Win only,Established,TIER3_DDT
TALLY,FUNCTION,codegen builtin,,IMPLEMENTED
TAN,FUNCTION,LLVM intrinsic,,IMPLEMENTED
TANH,FUNCTION,LLVM intrinsic,,IMPLEMENTED
TCP ACCEPT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP LINE INPUT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP NOTIFY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP OPEN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP PRINT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP RECV,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP SEND,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TCP_NOTIFY,FUNCTION,codegen builtin,,IMPLEMENTED
THREAD CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD CREATE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD GET PRIORITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD RESUME,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD SET PRIORITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD STATUS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREAD SUSPEND,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
THREADCOUNT,FUNCTION,codegen builtin,,IMPLEMENTED
THREADED,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TIMER,FUNCTION,codegen builtin,,IMPLEMENTED
TIX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TOOLBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
TRACE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TREEVIEW,STATEMENT,PB/Win only,Established,TIER3_DDT
TRIM,FUNCTION,codegen builtin,,IMPLEMENTED
TRUNC,FUNCTION,LLVM intrinsic,,IMPLEMENTED
TRY/END TRY,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
TYPE SET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
TYPE/END TYPE,BLOCK,PB/Win + PB/CC,Established,IMPLEMENTED
UCASE,FUNCTION,codegen builtin,,IMPLEMENTED
UCODEPAGE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP NOTIFY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP OPEN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP RECV,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP SEND,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UDP_NOTIFY,FUNCTION,codegen builtin,,IMPLEMENTED
UNLOCK,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
UNWRAP,FUNCTION,codegen builtin,,IMPLEMENTED
USING,FUNCTION,codegen builtin,,IMPLEMENTED
UTF8TOCHR,FUNCTION,codegen builtin,,IMPLEMENTED
VAL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
VARPTR,FUNCTION,codegen builtin,,IMPLEMENTED
VERIFY,FUNCTION,codegen builtin,,IMPLEMENTED
WAITKEY,FUNCTION,codegen builtin,,IMPLEMENTED
WINDOW GET,STATEMENT,PB/Win only,Established,IMPLEMENTED
WINDOW SET,STATEMENT,PB/Win only,Established,IMPLEMENTED
WORD,FUNCTION,codegen builtin,,IMPLEMENTED
WRAP,FUNCTION,codegen builtin,,IMPLEMENTED
WRITE,FUNCTION,codegen builtin,,IMPLEMENTED
WRITE#,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
XPRINT ARC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT ATTACH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT BOX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT CANCEL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT CELL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT CELL SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT CHR SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT CLOSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT COLOR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT COPY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT ELLIPSE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT FORMFEED,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET ATTACH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET CANVAS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET CLIENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET CLIP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET COLLATE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
